symptoms	sentences
disgusting,hot heart	Disgusting, nauseating. What's with the burning heart?
disgusting,counter-current	It's just that the chest sometimes feels like it's burning, and it wakes up in the morning with disgusting acid water.
spasms	The lower side of the ribs on the left side of the body occasionally has a short convulsion, which is more obvious when lying down or sleeping, not standing. What's the reason?
abdominal pain	Ate one of the Korean pest control pills, which should be one and a half years old. I ate one. It's March. You want to get pregnant in July?(female, 28 years old)
wong poon	After giving birth to a baby, there's a jaundice. I'll be down in a minute.
diarrhea,gastrointestinal discomfort,hiccup,abdominal pain	Hello, I've been having a stomach ache since this afternoon, and I feel a little cold, but I'm not sure, trying to burp, I can't get out, and then I've had a tummy, and I'm still sick. What do you say?
hiccup	And then sometimes a few hiccups.
abdominal distention	There's still a little of gas.
frustration,stomach ache	Last night's plate was probably too hot to go to sleep when he came back, but he woke up several times in the middle of the night, his stomach aches, and he's not feeling well today.(Men, 26 years old)
abdominal pain	What if you're running too fast and have a stomach ache?
hiccup,abdominal distention	Hello, I've always had a stomach swelling and I can't get a burp. There's shallow gastric inflammation. What do we do? (woman, 35 years old)
hiccup,disgusting,abdominal distention,helicobacter infection,abdominal pain,hunger,hot heart	Hello, last year, a slight phantom snails were detected, and recently the upper abdominal presses ache, stomach swollen, hiccup, burning heart, mild nausea, a sense of hunger, increased saliva in the mouth, especially one hour after the meal and for a long period of time.(Men, 36 years old)
helicobacter infection	There were no symptoms of saliva increase before, as if it had increased after a period of three-saliva doses for the treatment of phantom snails. Symptoms disappear or are reduced to a great extent, and are immediately discomforted as soon as the medication is stopped.
abdominal distention	When I tried to stop the medication, I went to review it, but when I stopped, I didn't go, and when I finished eating, there was more saliva in my stomach.
helicobacter infection	All right, do we just review the phantom snails? There's something else in your mouth, except that you just recommended that the medicine be taken without the medicine to treat the phantom.
stomach ache	When I woke up this morning, I had a headache.
bowel sound	I had a cake this morning and I had some cold water at the company. The tummy is grumbling. It'll be a little bloated in a minute, and it'll be all right after noon.Shit's not that rare. Ate the big gate crabs at night. After and cold water. Little tummy grunts again. It's the intestinal. Is it too fast? (Men, 26 years old)
bowel sound	Gollum under the belly button.
abdominal pain	Is there a medical basis to lie down and relieve the abdominal pain?
blood in stool	What's with the blood? It's a lot of blood.
blood in stool,abdominal pain	Last night, at 12 p.m., I had a pain in my stomach, and I thought it was a bad idea, but all the stuff on the mat was clean, and it was bleeding.
blood in stool	There's no shit, there's blood.
gastrointestinal discomfort	The upper right stomach is not well. Check the stomach mirrors, b is not abnormal. What else is possible? (Men, 37 years old)
cough	No pneumonia, no cough.
mental distress	It's weird when you're sleepy after dinner. Not before.
weight down	Weight is down.
counter-current	I'm an anti-genetic Larson. Muslin CASHU. Can you eat it with me?
ventilation	A lot of farce these days.
helicobacter infection	The phantom screws checked it out.
helicobacter infection	Flowed air, no phantom screws.
disgusting	Sodium phosphate salt and ricing nausea vomiting for what reason (M, 46 years old)
diarrhea	I see. Is that a diarrhea?
diarrhea	Then why didn't you take a diarrhea instead of throwing up because it was too fast?
diarrhea	It's starting to take a diarrhea now.
abdominal distention,abdominal pain	He's got a lot of gas, and he's got a lot of pain in his belly.
abdominal distention	Every time you eat, you feel swollen, but it's hard to vent. Heat bags of hot water will be used for small bellies before they can be excreted.
gastrointestinal discomfort	There's no discomfort in the stomach, it's the belly.
disgusting	No nausea.
blood in stool,abdominal pain	Poofs are irregular and bloody for more than a year; left rib edges have been sore for many years, and in the last year they have increased in frequency and scope; and there have been facial pains on the belly of the umbilical cord in recent months. The day before yesterday, he went to a civilian Chinese doctor and described the pulse as stomach inflammation.
indigestion	Pooing is irregular and Chinese doctors say it's because of indigestion.
abdominal pain	Can you go on with the stomach vomiting? Can you go on with the rest of the medicine?
abdominal pain	I ate a little chili. It didn't hurt for a while. I didn't feel like I ate a chili for two days.
spasms	It's been a few days since the tummy was sore and the tummy was sore this morning, it's been a long time since I had to take a tweeting, and then I started to have twitchy symptoms and always feel like I'm going to shit at any time.
spasms	Doesn't it have anything to do with spastic constipation?
ventilation	Yeah, yeah, yeah, 'cause I really feel like I can't fart.
indigestion,abdominal distention,water swollen	Excuse me, Dr. Liu, my father is 45, my stomach is swollen, for over a month, he's seen a doctor in a small hospital, he's had more than a month of digestive medicine. The doctor says it's probably liver water. He went to the largest hospital today, checked blood and urine, everything's normal. The doctor says it's digestive. I'm a little worried.
blood in stool,abdominal pain	He bleeds, he can't pull, and he's got a lower abdominal pain. (Woman, 19 years old)
abdominal pain	I'm going to have to go to the hospital.
hemorrhoid	I bought hemorrhoids and poo today.
abdominal distention	In the middle of the ribs, the tummy is swollen.
disgusting	There's nausea about vomiting.
gastrointestinal discomfort	That means the stomach is bad.
heat	What's going on with a stomach abstinence and a fever?
disgusting	No, it's just a little nausea.
hiccup,stomach ache,abdominal pain	I've had a stomach ache after eating these days, a little hiccup in the hidden pain, sometimes a little stingy in the stomach (woman, 27 years old)
loose stool,disgusting,bowel sound,frustration,diarrhea,heat,gastrointestinal discomfort	Heated, headaches, diarrhea, ten diarrhea times until night, nausea, almost invisible water, incompetence, cold, treatment at 8 p.m., when the temperature at the hospital was 38.2 °C, the doctor opened three bottles of salt last night at 12 o'clock, and it was a lot more comfortable. When I woke up this morning until noon, I didn't feel any uncomfortable. I had the same water when I had to take a bowel in the morning, but it was better than yesterday, and I got a little cold at the beginning of the afternoon, my head was hot, my stomach was sore, my stomach was a little sick, and I just measured my body temperature was 38.2 °C. The doctor didn't prescribe the medication yesterday, and he said that it would be better once, and if the next day there was still a fever of diarrhea, it would be obvious that there was no intestinal diarrhea today, that there was a total defecation, and did any doctor know why? Is it acute intestinal inflammation or something? Here are yesterday's blood sheets and medical records and yesterday's stuff.
loose stool	I'm sorry, I'm sorry.
dysphagia	The esophagus has a sense of salinity. Egg yellow is a bit stuck. What's the problem?
stomach ache	Sometimes the stomach hurts.
hiccup	No, just hiccups.
chest pain	Sleeping on the right and left sides of the body can feel pain after the chest bone.
disgusting	The gluten is so sticky that it makes you sick.
disgusting	Hello, I've been feeling sick lately, especially since I ate tofu and meat dumplings. Is there a problem with the digestive system?
hiccup,counter-current	Anti-acid and burp.
stomach ache	Oh, my God. Oh, my God.
helicobacter infection	Doctor! My medical examination revealed the problem of the phantom sculpture. When I drank white wine or caught fire, I had a strong dry mouth at night, and a dry tongue like dry sand. Does it have anything to do with the fungus? Thank you. On October 27, 2017, Li Chen Li examined the parameters of the problem: ii, phantom vortex antibodies62.2AU/mL.(Men, 50 years old). Buy a quadriplegic treatment and open a pharmacy. Thank you.
disgusting,abdominal pain	What's with the nausea vomiting from lunch till 2:00 p.m. today?
diarrhea	It's a rare thing.
gastrointestinal discomfort	I don't know what I'm talking about.
stomach ache,abdominal pain	I'm still having a stomach ache and a little abdominal pain.
dysphagia	(you u u u u up)
dysphagia	It's not swallowing, it doesn't hurt.
hot heart	Eating is starting to get worse and worse. Like a needle. It's like a needle if you don't get a stomach attack or a heart attack!
stomach ache,gastrointestinal discomfort	It's a bad stomach before it's been a long time since it's hurt.
stomach ache	I used to have pains in my stomach and rarely take my pills, and then I'll sleep in my stomach with something.
diarrhea,gastrointestinal discomfort	I drank a bottle of milk in the morning and I went to the bathroom, and I've shrunk it up three times, and now it's yellow water and gas, and there's no stomach to eat.
abdominal pain	It's only the third time today, and now it's a bit of a pain in the stomach.
heat	It's not clear that the day before yesterday just passed the fever.
black poo,ventilation,abdominal distention	Lately, the stomach is farting, but it doesn't stink, it can hear noises, and it is normal in the morning, but it looks like the turds are black.(Men, 26 years old)
hiccup,sore throat	There have been more burps recently than before, and there is a feeling that the esophagus and the throat are hurting, that there is nothing wrong with eating the hot ones, and that the esophagus is uncomfortable with eating them now.(Men, 34 years old)
diarrhea	At one point at sea, I had a tummy once at night, and then I felt it.
hiccup	Yes, thank you. Then why does Hiccup feel pain?
disgusting,stomach ache,abdominal pain	I don't know if it's in the throat or the stomach or the stomach or what's wrong with it.
diarrhea,hematemesis	Normal diarrhea last night, not two days before, but no blood.
abdominal pain	I'm so sorry, I'm so sorry.
disgusting,abdominal pain	No nausea, lumps, abdominal pain.
loose stool,stomach ache	I'm a student who's been drinking his stomach mirrors but hasn't had an intestinal hemorrhage in his intestinal mirror.
counter-current	What does anti-acid mean?
hot heart	The heat didn't burn.
indigestion	Oh, oh, is that bad digestion related to intestinal inflammation?
abdominal distention	Shit's normal, once a morning. My stomach's a little swollen, but my appetite's good. No slime and blood.
abdominal distention	My stomach is a little swollen every morning, but when you do, you get hungry, when you eat it, when you swell it, and when you move around, you don't feel it. It doesn't hurt, it's a lack of stomach power or something.
stomach ache	It used to hurt when you didn't eat or when you ate something bad.
abdominal distention,hot heart	It's an early abstinence and occasionally a little of a burning stomach.
diarrhea,abdominal pain	Hello, doctor, pain in the lower abdomen, pain in the stomach, too much pain, for a while, but without regularity, sometimes for a long time, sometimes for a long time, and a little diarrhea, once a day, now twice a day.(Woman, 21 years old)
loose stool,gastrointestinal discomfort	The stomach doesn't have a special feeling, but it's a little thin, yellow-coated lately. It's been about three or four days. I don't have a good appetite these days.
counter-current	Brush your teeth a little nausea in the morning, sometimes anti-acid.
abdominal distention,abdominal pain	I like the stomach ache.
diarrhea,abdominal pain	Last night it was all hot all night, a stomach ache, and I wanted to go to the bathroom, but it was a little thin for the first time, and I couldn't pull it out back, and I felt a little headache. I went out last night to play badminton with my friends, and I ate a hot pot, a fungus soup.(Men, 25 years old)
abdominal pain	It's a pain in the stomach, it's a cesspit, it's not much to pull, but it's like a glue.
abdominal pain	It didn't last long...the belly button hurts.
loose stool	No, yesterday, four or five times in the afternoon, not much to pull, and there's slime.
sore throat,counter-current,chest pain	Hello, Doctor. I've got reflux bulimia, in the form of convulsions, occasional chest pains, insulation. Eating Opera's foil, ding-ting, starting yesterday. Doctor, since there's no anti-acid symptoms, can I stop eating Opera?
chest pain	It's just that the esophagus is a little choked in the afternoon, and when you drink water or eat it, it's an occasional pain in the chest, you feel something in the throat, and everything else is fine.
counter-current	Symptoms are now similar to reflux.
disgusting	It's been two weeks since morning vomiting.
counter-current	It's just stomach acid or something.
diarrhea	I'm sorry, I'm sorry.
abdominal pain	Mom had a constipation, she had a bad stomach pain twice, she couldn't speak, she sat on the restroom, she had no eyes, she was pale, she couldn't stand up, she had a lot of sweat the other day, she was cold, and then she came out slowly. Do I ask the doctor if constipation could cause such serious symptoms?
diarrhea,heat	I'm the girl who consulted you on January 31, the one whose diarrhea caused the fever. Remember?
helicobacter infection	Doctor, my father was infected with a phantom scab infection, tested positive several times, treated twice in hospital, treated three times, not even a United Four, and what to do.
black poo,indigestion,stomach ache,hot heart	Do you think it's a little chilly after the doctors have eaten too much and starved too much the other day, and they've had a little too much pain in their stomach, so they're a little green and a little dark, and then they've had a little of a bad stomach or a little green and a little dark? Do you need to go to the hospital?
black poo	If it doesn't hurt now, it's a little green and dark.
disgusting,cough	Doctor: My father had a sudden low blood pressure in the last few days and had some symptoms, felt a lot of head and fainting the other morning, the whole person was unconscious, coughed up with a feeling of vomiting, got a little sweaty the other morning, and felt sick. What's going on? (Men, 48 years old)
indigestion,gastrointestinal discomfort	Hello, Doctor, since 2017, the left armpits have had stings in the ribs, and sometimes the stomach is sick. The doctor at the hospital says it's indigestion, but this is still happening. Is it serious?
gastrointestinal discomfort	Because sometimes the stomach doesn't feel well.
counter-current,stomach ache,hot heart	There was one or two stomach acids, burns, and usually no constipation.
indigestion	I went to the school hospital with indigestion. Did you eat Ting Lin?
stomach ache	It's mainly a stomach ache, in the middle of the ribs.
counter-current	I got up this morning and had a glass of water, and I ate a couple of biscuits, and now I'm feeling this, stomach acid.
abdominal distention	It is normal to poop, and every morning it starts, and after eating it, it does not feel swollen in the stomach.
diarrhea,difficult eating,disgusting	The first week was a diarrhea, then a nausea didn't want to eat, went to the hospital to check for blood, got a shot of a gastric medicine, started a diarrhea on the third day.
abdominal distention	The stomach.
abdominal pain	I've got pain, pain, pain, pain, pain, pain, pain, pain, pain, pain, pain, pain, pain, pain, pain, pain, pain, pain, pain, pain, pain, pain, pain in the body, pain in the body, pain in the body, pain in the body, pain in the body, pain in the body, pain in the body, pain in the body, pain in the body, pain in the body, pain in the body, pain in the body, pain in the body, pain in the body, and pain in the body.
stomach ache	No gastric mirrors, no stomach ache.
diarrhea,abdominal pain	The pain started suddenly in the lower left belly in the morning, the poop was normal before it did, and the pain was two rare. So far, the left belly is still hurting, but it can't pull anything out. What do we do?
abdominal pain	It doesn't hurt when it hurts in the lower left.
restlessness	Oh, you think I'm anxiety, not high blood pressure.
diarrhea	It's cold today, it's spitting out again, it's been seven or eight times in two hours, now it's salt water, it's medicine, what about the doctor?
diarrhea,loose stool	Hello doctor, I've had diarrhea for two days, but only once a day I've pulled it, and it's so rare that it's purple red, looks like blood, and I haven't eaten red food. What's wrong with the doctor?
loose stool	I'm sorry, I'm sorry.
diarrhea,loose stool,blood in stool	It's been a long time since you've eaten red food, you don't feel any uncomfortable in your body, you're going to shit, you're going to pull a red purple red like blood, you're going to hate people.
indigestion	Hello doctor, functional indigestion. What do you want to do?
difficult eating,abdominal distention	Asided, aside, aside, aside, aside, aside, aside, aside, purpose,
gastrointestinal dysfunction,diarrhea	He ate a popsicle about an hour after lunch last August and threw up his dysentery. Since then, the gastrointestinal function has been disturbed.
stomach ache	My stomach hurts. It's a pain in the first place. After that, he'll start to hurt when he's finished eating! Another Omega at around 11:00, and now it's starting to hurt again.
diarrhea,difficulty breathing,abdominal pain	I couldn't breathe the previous hour without a diarrhea.
disgusting	There were no stones before, a little of vomiting in the pain ahead.
abdominal pain	It doesn't hurt that much anymore, but if you want to pee and shit, the stone won't hurt your stomach. Doctor, is it intestinal inflammation?
diarrhea,abdominal distention,stomach ache	Now there's a feeling of sour pain in the stomach, starting last night, and I've been having diarrhea. Still is.
difficult eating,disgusting	I'm in pain.
stomach ache,disgusting,abdominal distention	Now there's a feeling of acidic pain in the stomach and a feeling of nausea.
loose stool	Ten years ago, after a gall bladder removal, there's been an increase in the number of poops and sometimes the glutinous look of them.
disgusting	There was little reason for it, and there was nothing to eat, and suddenly it was disgusting.
disgusting	I'm going to give up my mind.
diarrhea	— I'm hungry.
gastrointestinal discomfort	I've always had bad stomachs, usually very hot or hard or cold.
abdominal distention	Sometimes it feels a little swollen, and it feels so cold inside.
hiccup,abdominal distention	Occasional stomach sclerosis, not often burp.
hiccup,ventilation	It's been two years since the throat was sore to the chest, it's so stunned, it's so heavy, it's so tired. Anytime you want to hiccup, get up in the morning and fart.(Woman, 25 years old)
hiccup,dysphagia	It's a feeling of throat to chest, chest to chest, trying to burp.
hiccup	Eating too much will burp against food.
hiccup	Is it because of food backsliding? Any time you want to burp, you get up in the morning, and you like to fart.
counter-current	Anti-acid?
heat	I don't know what you're talking about.
disgusting	Eat something, you'll be sick in an hour.
stomach ache,gastrointestinal discomfort	Sometimes when you don't go to the bathroom in time, your stomach hurts and your intestines get sick. What's going on?
stomach ache	My stomach aches.
counter-current	Cold heart, a little stomach sour.
stomach ache	No, but I don't think it's a heart problem. Because I used to have a pain in my mouth and take my stomach medicine.
shortness of breath	There's no short feeling.
stomach ache	Does your stomach hurt?
counter-current	I see. My stomach mirrors are refluxing.
abdominal pain	There was some pain in the upper right rib, especially after physical activity, and cystitis, but the B check was not unusual.(Men, 54 years old)
hot heart	I've got it. I've got it. Furthermore, I've got it.
ventilation,abdominal distention	He's 26 years old, he's so angry, he can't fart.
abdominal pain	It's about 7 a.m. and it's like 8 or 9 a.m. again.
bowel sound	It's always ringing. It's like something. What's going on?
abdominal distention	Not much, not too much.
diarrhea,hunger	I feel like I'm hungry. I feel like I'm hungry. Furthermore, I feel like I'm going to eat something after I'm done. Furthermore, I feel like I'm going to shit two or three times.
diarrhea,hunger	In August last year, there was acute gastrointestinal inflammation, eating Omelazepam and then getting better, and the feeling of pooping for a while, and then getting hungry, and then having a cold drink the other day.
loose stool,hunger	No, it's just that I'm hungry. I can't take a shit.
hunger	When I woke up yesterday morning, I was so hungry that I went to the hospital in the afternoon. It was a little better today than yesterday.
diarrhea	Why do you have to be soaking when you're getting cold?
spasms	Previously, the doctor said it was an intestinal spasm.
indigestion	The baby's aphrodisiac, transparent, soybean-sized, pooping and crying. It's not well digested, sometimes 3-5 days a day.(Men, 13 years old)
diarrhea,difficult eating,gastrointestinal discomfort,abdominal pain	He took some arthritis medication two days ago, stimulant appetites, bad appetites, swelling pains, and thinning and painless stomachs (women, 52 years old)
gastrointestinal discomfort	Last year, I had a bad stomach shadow.
diarrhea	What's going on?
abdominal pain	I'm so sorry, I'm so sorry.
gastrointestinal discomfort	Run after a bad stomach.
bowel sound,stomach ache	Just grunt when the stomach hurts.
diarrhea,abdominal pain	I've had a bad stomach these past few days. I've had a tummy the other day. Why?
abdominal pain	It's just a stomachache. It's been a few days.
restlessness	Not often, it's just that today's topic won't be a little much more irritable.
diarrhea,bowel sound	I've had a tummy all night, and I've been grunting and grunting.
diarrhea	You're still having a diarrhea.
blood in stool,stomach ache	The constipation lasted several days, and sometimes it hurts after eating or in an empty stomach, and today there is blood in the toilet. There's a history of gastroenteritis.(Woman, 24 years old)
ventilation	I used to fart when I was pooping, and I had a big belly like a watermelon.
bowel sound	This has been the case since last March, and it takes a long time to constipate and to lie down and scream.
diarrhea	Always having diarrhea.
diarrhea,loose stool	It's not exactly diarrhea, it's a lot of shit, it lasts a long time, and it's often diarrhea.
diarrhea	I've had a diarrhea yesterday! I've had a diarrhea, and then I've had a diarrhea at night! It's okay, it's okay, it's okay, it's okay, it's okay, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK, it's OK. It's OK, it's OK.
ventilation	Hello, doctor. I've been farthing a lot lately. I don't know why.
ventilation	What's with the farts every day?
abdominal pain	Evening's stomach ache.
intestinal obstruction	I've been out of the hospital for two days a week for conservative treatments. What can we eat for the main food? What can we drink for the fruit? Can you tell me exactly what you're afraid to eat?
intestinal obstruction	He's had an aphid surgery before, and he's had an infarction for more than 10 days.
restlessness	I'm a little upset, but because of the pox, it just grew up a little, looked at the dermatology several times, and the medication grew for days.
counter-current	Anti-acid,
hot heart	A heart attack.
back pain	Radioactive Queen's back pain.
abdominal distention	What are you talking about?
abdominal distention,gastrointestinal discomfort	The day before yesterday, when I was sick and swollen, I threw up my throat for a long time, didn't fall asleep in the middle of the night, and this morning I got tired of breathing, and I had a little oatmeal and chicken soup, and now I'm feeling swollen and nausea.
disgusting,abdominal distention	I'm tired of breathing, my stomach is tired, my stomach is swollen, it's disgusting.
abdominal distention	What can you do to ease the gastric without taking the pills now?
difficult eating,gastrointestinal discomfort	Because the day before yesterday, the car passed out and threw up, the stomach was so uncomfortable that it couldn't eat anything.
abdominal pain	There was something stuck in the throat, and the breathing was uncomfortable, and the upper abdomen was suffocating.
disgusting	Doctor, why did you eat the digital and get sicker?
hunger,gastrointestinal discomfort	I had half a bowl of oatmeal an hour ago. I'm a little hungry. Is it normal?
hunger	Is this normal stomach hunger or is it caused by stomach inflammation?
sticky stool,gastrointestinal discomfort	Poo-poo, it stinks, and the lower left stomach is not well. What's the reason for this? (Men, 23 years old)
heat	Heat never measured.
hiccup,abdominal distention,abdominal pain	No hiccups, abdominal pain is a lower left stomach ache, but it hurts several times a day, once for a few minutes, and the stomach is not swollen yet.
hiccup,ventilation,abdominal pain	Recently, I've had pain in my lower abdomen.
loose stool	Has it been normal for the last week to get up in the morning and take a shit once after lunch or dinner, sometimes it starts to take shape, sometimes it takes shape, sometimes it takes shape, once every morning? (Men, 46 years old)
abdominal distention,abdominal pain	For one week, there was sometimes a slight abdominal pain or abdominal swelling before taking a shit, and there was usually no hot and stimulating food, among other things.
loose stool	I just had to take another shit. It's a little of blood on the paper.
diarrhea,gastrointestinal discomfort	This morning, when the poop became morphed, it started with a white snot on the surface, and it still felt sick and diarrhea.
hemorrhoid	I looked in the mirror and there were peanut-like meatballs out there, but I looked at no anal fractures, didn't I? There was an internal ailment after going to the bathroom, but it wasn't so painful.
blood in stool	The next-door neighbor had just a few days before a hemorrhage examined for intestinal meat, so he heard that the hemorrhage was dangerous and a little scared.
frustration,heat	Hello doctor, I have a fever caused by gastrointestinal inflammation, and I have a headache and a weakness.
heat	In his nap, he suddenly started to have a fever.
difficult eating	I haven't had a meal or two in a few days.
loose stool	Big is soft.
frustration	I'm sorry.
blood in stool	Doctor, what are we going to do? We just pulled up and found blood in the shit. I'm scared. There was one in January this year. Usually not.(Woman, 22 years old)
hemorrhoid	If I'm constipated, once every two or three days, it's dark. No constipation is yellow. I'm so young, how hemorrhoids. My colleagues, they're all babies, hemorrhoids.
hemorrhoid	I'm probably an impulsive.
spasms	What do you have for the cyst spasm?
hiccup	One day of uninterrupted hiccup.
hiccup	It's just a sudden hiccup in the last few days.
diarrhea,abdominal pain	It's obvious that when you get up this morning, the pain in your stomach is getting better, but it's still a little painful. What's the matter with you? No diarrhea.(Woman, 21 years old)
diarrhea	After eating bad gastrointestinal inflammation last month, each morning for about two weeks, he's been eating a single pill with a spleen pill and a hydrochloric acid or something, and it's only recently been better.
seung jo	It's a little tense, sleep's been bad, allergy nasal in the middle of the night, and I've been eating dispensary for early sleep.
abdominal distention	He's got a bloated stomach, but he doesn't eat much.
abdominal distention	What's going on with a blistering stomach that doesn't eat much?
hiccup,stomach ache	You'll be hiccups all the time. You'll get a pain in your stomach if you eat something.
hiccup	I've been eating hot for more than half a month.
counter-current	Lately, there's always stomach acid, anti-acid water, especially when eating rice or fried eggs in tomatoes, what can be alleviated, or what kind of medicine (women, 25)
abdominal pain	I have a slight intestinal inflammation, and it hurts my stomach if I don't eat clean.
abdominal distention,abdominal pain	I'm so sorry, I'm so sorry.
diarrhea,loose stool,heat	I have a fever on Monday, diarrhea starts on Tuesday, water looks like shit, dehydrates, muslin and rehydration salts, hospital check-ups on Wednesdays, a little better on Thursdays, diarrhea on Fridays, and then I go home in the afternoon and I start the infusion, not much yesterday, a little today.
indigestion,abdominal distention,abdominal pain	Is it normal for a poop like this? During the earlier period, the doctor judged it to be indigestion, suspected of colonies, eating six men's pills for a few days and an acidic cactus, and now it's normal once or twice a day, without abdominal pain. Looking closely today, there's a little of white particles in the shit, and it's like a tiny red dot, and I don't know if it's normal.
hemorrhoid	I don't know what you're talking about.
indigestion	I'm thin, 165 and 92 pounds tall. It feels like it's not digestive because, for example, I had a pickle dumpling yesterday, I woke up in the morning and took a piss in the toilet, and there were pickles in the toilet, and there were pickles in the toilet. What's the reason? What's the problem?(Men, 30 years old)
hiccup,disgusting,counter-current,abdominal distention	Anti-acid has no impression, nausea is rare, abdominal intensities have always been half a leather ball after a meal when the stomach is empty in the morning. It's a rare occurrence.
diarrhea	And yet there is more to it than that.
diarrhea	By the way, sometimes when you eat something that's not right, you're going to eat it for two days after you've had a severe diarrhea.
hemorrhoid	It's too hard for me to have a mild hemorrhage intestinal mirror.
disgusting	It's disgusting, but it's not serious. It's in the bathroom.
gastrointestinal discomfort	I don't feel well in my stomach. I'm going to shit.
diarrhea	What am I supposed to do with the diarrhea caused by the bad food?
abdominal pain	This doctor gave me a laxative and abdominal abstinence. It's still not good.
hot heart	Slam a 13-melt pill last night on 5. He ate six times this morning. He ate another six, he felt a little of a fever, and he said it'd be a problem if I ate five or nine times a day before I went to bed.
disgusting,gastrointestinal discomfort	I'm a little sick after I've eaten. I'm a little sick.
indigestion	My mother's stomach is not digestive, she's asleep, and she ate something and threw up... what's wrong with it?
counter-current,abdominal pain	There's no abdominal antacid, no vomiting now, just eating.
hiccup,ventilation,hot heart	After dinner, the stomach burns, always hiccups, farts, what do you want to take?
stomach ache	I often get this situation, stomach inflammation or ulcers, sometimes accompanied by stomach pains.
hiccup,gastrointestinal discomfort	It's been a little uncomfortable since last night. Feels like breath. It's a little cramped, but it's not good enough to keep burping. What's going on here?
hiccup,gastrointestinal discomfort	It lasted a day. It's been like this all day. It's a stomach attack and a hiccup. That kind of hiccup is coming back from the stomach.
indigestion	Am I indigestion?
bowel sound	Sometimes it feels like it's still groaning in the stomach.
hiccup,ventilation,cough	Hello doctor, I'm 30 years old, woman, holding this part on the bone next to the left chest. It's obvious that shaking around and around the bone with the palm of the hand is painful, and it's like something rubbing in there, it's hurt for more than half a year, it's always burping, it's always groaning and farting in that arm. Two years ago, he had gastric mirrors with shallow gastric inflammation. This part of the area starts with a cold, a cough, a cold, and it hurts when it's ready. I'd like to ask you what the problem is. Thank you.(female, 29 years old)
counter-current	The gastric mirrors seem to say something about reflux.
hiccup	It hurts when you hold a bone. It doesn't hurt much in the gut. Furthermore, it hurts a lot. Furthermore, it's always hiccups.
counter-current	There's always sour water in your mouth. Is it a question of stomach acid? I've been eating hot meat and drinking lately. I can't sleep with sour water in my mouth last night. Furthermore, I can't sleep with sour water in my mouth at noon.
bowel sound	Sometimes it's a sound in the chest when you play with a child, it's a sound in the stomach.
back pain	Ajië.
dehydration	It's dehydration.
abdominal pain	The stomach hurts especially.
bowel sound	My stomach's been barking.
hiccup,ventilation,abdominal distention	Since the beginning of the year, the stomach has been swollen, the gas is not good, the burps can't come up, they can't fart, they don't eat much, and they haven't improved for four days.(Men, 30 years old)
abdominal distention	It's always felt in the stomach.
hiccup	I don't know what you're talking about.
sore throat	And that's basically what makes your nose sound like it's more swollen than your throat.
hiccup	It is more difficult for an elderly person to hiccup the day after the onset of the operation without these symptoms.
hiccup	Then why can't the frequent hiccups stop for a while?
hiccup	Are you saying that frequent hiccups are normal after cyborg surgery, and that it's going to be better in a while?
hiccup	It's easy to get caught up in a lot of miscalculations.
abdominal distention	When you eat, you feel your stomach swollen with digestive drugs. Can you take an ulcer capsule now? (Men, 42 years old)
disgusting	Is Dr. Lee here? When you take And, you feel constipation and vomiting. What do you do?
ventilation	Well, because it's two hours after dinner, and then it's like it's stuck, and it's like it's constipated.
disgusting	Well, I'll take Ada for another two days, and if I still want to vomit or constipate, I'll try Take instead.
ventilation,abdominal distention	Doctor, there's still symptoms of being saturated in the stomach, swollen in the stomach, farting.
bowel sound,ventilation,abdominal distention	Dr. Lee, am I fit for more exercise? Breathing, breathing, snorting, farting.
diarrhea	Doctor, the diarrhea today.
diarrhea	What's the reason for the diarrhea.
stomach ache	Every morning when I wake up, my stomach tastes like food, but it's not hungry.
diarrhea,abdominal pain	Doctor, you've had a pain in your stomach for two days, and it's going to hurt to get up, and it's going to hurt to get a pain in your stomach.
abdominal pain	Hello doctor is this pain in the whole tummy muscle.
diarrhea	It's the doctor's uncomfortable stomach.
diarrhea	There have been cases of diarrhea these past two days.
stomach ache	(Female pain in the stomach, pain in the belly, pain in the chest, pain in the chest, pain in the chest, pain in the chest, and pain in the chest)
stomach ache	If you're hungry, your stomach hurts. If you're not hungry, it won't hurt. What's going on?
black poo	The shit's dark and black. It scares me. What's the matter with me?
disgusting	That's disgusting.
blood in stool	Personally, man, 33 years old. There was blood in the shit yesterday afternoon. Pork is dark, blood is red, urine is yellow (Men, 33 years old)
blood in stool	Yesterday, the cesspit took a look at the pool, and the pool was red.Shit's on the line, dark color. Blood's kind of dark red. There's blood on the paper for the first time. It doesn't feel mixed. There's no blood on the paper.
hemorrhoid	I didn't know how hemorrhoids felt before. I didn't see any discomfort.
blood in stool,disgusting,cough	I got a cold a few days ago, flu. At a later stage, it's just coughing, it's a bad voice, it's disgusting, it's disgusting, it's vomiting. It's been good lately. There are no symptoms. Just yesterday we found blood.
hematemesis	There is no other feeling. Check the body a few days ago, a little fat liver. Hepatitis B virus is no longer present (hepatitis B was previously present). There are no symptoms of vomiting blood.
blood in stool	I don't know if I can't take the blood today. But there's no blood on the panties.
